CHR25.AtP.um.g40819	178	CHR25.AtP.um.g40819	184	CHR25.AtP.um.g40819	172
CHR25.AtP.um.g40820	55	CHR25.AtP.um.g40820	52	CHR25.AtP.um.g40820	53
CHR25.AtP.um.g40821	68	CHR25.AtP.um.g40821	82	CHR25.AtP.um.g40821	89
CHR25.AtP.um.g40822	398	CHR25.AtP.um.g40822	392	CHR25.AtP.um.g40822	415
CHR25.AtP.um.g40823	136	CHR25.AtP.um.g40823	116	CHR25.AtP.um.g40823	146
CHR25.AtP.um.g40824	169	CHR25.AtP.um.g40824	181	CHR25.AtP.um.g40824	175
CHR25.AtP.um.g40825	52	CHR25.AtP.um.g40825	59	CHR25.AtP.um.g40825	59
CHR25.AtP.um.g40826	335	CHR25.AtP.um.g40826	318	CHR25.AtP.um.g40826	304
CHR25.AtP.um.g40827	104	CHR25.AtP.um.g40827	91	CHR25.AtP.um.g40827	108
CHR25.AtP.um.g40828	577	CHR25.AtP.um.g40828	567	CHR25.AtP.um.g40828	532
CHR25.AtP.um.g40829	312	CHR25.AtP.um.g40829	281	CHR25.AtP.um.g40829	302
CHR25.AtP.um.g40830	306	CHR25.AtP.um.g40830	279	CHR25.AtP.um.g40830	282
CHR25.AtP.um.g40831	248	CHR25.AtP.um.g40831	261	CHR25.AtP.um.g40831	267
CHR25.AtP.um.g40832	194	CHR25.AtP.um.g40832	170	CHR25.AtP.um.g40832	187
CHR25.AtP.um.g40833	316	CHR25.AtP.um.g40833	340	CHR25.AtP.um.g40833	344
CHR25.AtP.um.g40834	189	CHR25.AtP.um.g40834	192	CHR25.AtP.um.g40834	199
CHR25.AtP.um.g40835	210	CHR25.AtP.um.g40835	216	CHR25.AtP.um.g40835	205
CHR25.AtP.um.g40836	150	CHR25.AtP.um.g40836	134	CHR25.AtP.um.g40836	134
CHR25.AtP.um.g40837	195	CHR25.AtP.um.g40837	171	CHR25.AtP.um.g40837	210
CHR25.AtP.um.g40838	173	CHR25.AtP.um.g40838	196	CHR25.AtP.um.g40838	191
CHR25.AtP.um.g40839	237	CHR25.AtP.um.g40839	223	CHR25.AtP.um.g40839	237
CHR25.AtP.um.g40840	74	CHR25.AtP.um.g40840	82	CHR25.AtP.um.g40840	82
CHR25.AtP.um.g40841	202	CHR25.AtP.um.g40841	210	CHR25.AtP.um.g40841	200
CHR25.AtP.um.g40842	49	CHR25.AtP.um.g40842	53	CHR25.AtP.um.g40842	51
CHR25.AtP.um.g40843	255	CHR25.AtP.um.g40843	218	CHR25.AtP.um.g40843	276
